,inventory_id,set_num,quantity
2811,43650,71026-0,60
2812,43681,45002-1,2
2813,43681,45005-1,2
2814,43681,45018-1,2
2815,43681,45024-1,2
2816,43681,45025-1,2
2817,43681,9840-1,2
2818,43719,45300-1,1
2819,43719,5004838-1,1
2820,43720,2000715-1,1
2821,43720,2045300-1,1
2822,43720,45300-1,4
2823,43720,5004838-1,4
2824,43721,2000715-1,4
2825,43721,2045300-1,1
2826,43721,45300-1,12
2827,43721,5004838-1,12
2828,43840,60177-1,1
2829,43840,60178-1,1
2830,43862,30617-1,1
2831,43864,30617-1,1
2832,43974,75900-1,1
2833,43974,75901-1,1
2834,43974,75902-1,1
2835,43974,75903-1,1
2836,43974,75904-1,1
2837,43974,SDMYSTERYGANG-1,1
2838,44262,6317941-1,1
2839,44262,6317942-1,1
2840,44262,80104-1,1
2841,44262,80105-1,1
2842,44343,8310-1,1
2843,44343,8311-1,1
2844,44598,71014-0,60
2845,46066,40301731-1,1
2846,46066,5001383-1,1
2847,46066,5003568-1,1
2848,46066,5004268-1,1
2849,46148,9081-1,1
2850,46148,9085-1,1
2851,46714,75126-1,1
2852,46714,75128-1,1
2853,46714,75129-1,1
2854,47910,3194-1,2
2855,49630,71027-1,3
2856,49630,71027-10,4
2857,49630,71027-11,3
2858,49630,71027-12,5
2859,49630,71027-13,4
2860,49630,71027-14,3
2861,49630,71027-15,3
2862,49630,71027-16,4
2863,49630,71027-2,3
2864,49630,71027-3,4
2865,49630,71027-4,5
